Geography,Geography Code,All usual residents,Access census area explorer
Three_Mile_Water_B3,N20000139,462,Three_Mile_Water_B3 DZ profile
Three_Mile_Water_G1,N20000140,719,Three_Mile_Water_G1 DZ profile
Three_Mile_Water_A5,N20000141,351,Three_Mile_Water_A5 DZ profile
Three_Mile_Water_F1,N20000142,349,Three_Mile_Water_F1 DZ profile
Three_Mile_Water_E3,N20000143,625,Three_Mile_Water_E3 DZ profile
Three_Mile_Water_D4,N20000144,382,Three_Mile_Water_D4 DZ profile
Three_Mile_Water_F2,N20000145,260,Three_Mile_Water_F2 DZ profile
Three_Mile_Water_J1,N20000146,402,Three_Mile_Water_J1 DZ profile
Three_Mile_Water_F3,N20000147,503,Three_Mile_Water_F3 DZ profile
Three_Mile_Water_H1,N20000148,310,Three_Mile_Water_H1 DZ profile
Three_Mile_Water_E4,N20000149,615,Three_Mile_Water_E4 DZ profile
Three_Mile_Water_J2,N20000150,319,Three_Mile_Water_J2 DZ profile
Three_Mile_Water_H2,N20000151,609,Three_Mile_Water_H2 DZ profile
Three_Mile_Water_G2,N20000152,368,Three_Mile_Water_G2 DZ profile
Three_Mile_Water_K2,N20000153,546,Three_Mile_Water_K2 DZ profile
Three_Mile_Water_F4,N20000154,786,Three_Mile_Water_F4 DZ profile
Three_Mile_Water_J3,N20000155,355,Three_Mile_Water_J3 DZ profile
Three_Mile_Water_H3,N20000156,674,Three_Mile_Water_H3 DZ profile
Three_Mile_Water_H4,N20000157,675,Three_Mile_Water_H4 DZ profile
Three_Mile_Water_G3,N20000158,596,Three_Mile_Water_G3 DZ profile
Three_Mile_Water_J4,N20000159,385,Three_Mile_Water_J4 DZ profile
Three_Mile_Water_G4,N20000160,365,Three_Mile_Water_G4 DZ profile
Three_Mile_Water_K3,N20000161,547,Three_Mile_Water_K3 DZ profile
Three_Mile_Water_G5,N20000162,748,Three_Mile_Water_G5 DZ profile
Three_Mile_Water_K4,N20000163,532,Three_Mile_Water_K4 DZ profile
Macedon_A1,N20000164,570,Macedon_A1 DZ profile
Macedon_A2,N20000165,460,Macedon_A2 DZ profile
Macedon_B1,N20000166,392,Macedon_B1 DZ profile
Macedon_B2,N20000167,307,Macedon_B2 DZ profile
Macedon_C1,N20000168,428,Macedon_C1 DZ profile
Macedon_B3,N20000169,429,Macedon_B3 DZ profile
Macedon_C2,N20000170,474,Macedon_C2 DZ profile
Macedon_C3,N20000171,456,Macedon_C3 DZ profile
Macedon_B4,N20000172,596,Macedon_B4 DZ profile
Macedon_A3,N20000173,639,Macedon_A3 DZ profile
Macedon_D1,N20000174,623,Macedon_D1 DZ profile
Macedon_C4,N20000175,440,Macedon_C4 DZ profile
Macedon_C5,N20000176,411,Macedon_C5 DZ profile
Macedon_B5,N20000177,353,Macedon_B5 DZ profile
Macedon_E1,N20000178,439,Macedon_E1 DZ profile
Macedon_E2,N20000179,591,Macedon_E2 DZ profile
Macedon_D2,N20000180,482,Macedon_D2 DZ profile
Macedon_F1,N20000181,462,Macedon_F1 DZ profile
Macedon_D3,N20000182,680,Macedon_D3 DZ profile
Macedon_F2,N20000183,423,Macedon_F2 DZ profile
Macedon_F3,N20000184,416,Macedon_F3 DZ profile
Macedon_E3,N20000185,242,Macedon_E3 DZ profile
Macedon_H1,N20000186,203,Macedon_H1 DZ profile
Macedon_F4,N20000187,371,Macedon_F4 DZ profile
Macedon_H2,N20000188,501,Macedon_H2 DZ profile
Macedon_J1,N20000189,572,Macedon_J1 DZ profile
Macedon_G1,N20000190,358,Macedon_G1 DZ profile
Macedon_E4,N20000191,404,Macedon_E4 DZ profile
Macedon_G2,N20000192,259,Macedon_G2 DZ profile
Macedon_G3,N20000193,238,Macedon_G3 DZ profile
Macedon_K1,N20000194,357,Macedon_K1 DZ profile
Macedon_G4,N20000195,531,Macedon_G4 DZ profile
Macedon_J2,N20000196,216,Macedon_J2 DZ profile
Macedon_K2,N20000197,213,Macedon_K2 DZ profile
Macedon_K3,N20000198,359,Macedon_K3 DZ profile
Macedon_G5,N20000199,512,Macedon_G5 DZ profile
Macedon_K4,N20000200,561,Macedon_K4 DZ profile
Macedon_J3,N20000201,567,Macedon_J3 DZ profile
Macedon_K5,N20000202,398,Macedon_K5 DZ profile
Macedon_J4,N20000203,314,Macedon_J4 DZ profile
Macedon_J5,N20000204,380,Macedon_J5 DZ profile
Macedon_H3,N20000205,319,Macedon_H3 DZ profile
Macedon_H4,N20000206,283,Macedon_H4 DZ profile
Macedon_L1,N20000207,445,Macedon_L1 DZ profile
Macedon_L2,N20000208,484,Macedon_L2 DZ profile
Macedon_L3,N20000209,499,Macedon_L3 DZ profile
Macedon_L4,N20000210,659,Macedon_L4 DZ profile
Glengormley_Urban_C1,N20000211,614,Glengormley_Urban_C1 DZ profile
Glengormley_Urban_A1,N20000212,513,Glengormley_Urban_A1 DZ profile
Glengormley_Urban_A2,N20000213,391,Glengormley_Urban_A2 DZ profile
Glengormley_Urban_B1,N20000214,322,Glengormley_Urban_B1 DZ profile
Glengormley_Urban_C2,N20000215,500,Glengormley_Urban_C2 DZ profile
Glengormley_Urban_B2,N20000216,280,Glengormley_Urban_B2 DZ profile
Glengormley_Urban_A3,N20000217,595,Glengormley_Urban_A3 DZ profile
Glengormley_Urban_B3,N20000218,584,Glengormley_Urban_B3 DZ profile
Glengormley_Urban_C3,N20000219,722,Glengormley_Urban_C3 DZ profile
Glengormley_Urban_B4,N20000220,434,Glengormley_Urban_B4 DZ profile
Glengormley_Urban_D1,N20000221,524,Glengormley_Urban_D1 DZ profile
Glengormley_Urban_E1,N20000222,484,Glengormley_Urban_E1 DZ profile
Glengormley_Urban_D2,N20000223,492,Glengormley_Urban_D2 DZ profile
Glengormley_Urban_B5,N20000224,461,Glengormley_Urban_B5 DZ profile
Glengormley_Urban_E2,N20000225,310,Glengormley_Urban_E2 DZ profile
Glengormley_Urban_D3,N20000226,605,Glengormley_Urban_D3 DZ profile
Glengormley_Urban_C4,N20000227,489,Glengormley_Urban_C4 DZ profile
Glengormley_Urban_E3,N20000228,426,Glengormley_Urban_E3 DZ profile
Glengormley_Urban_E4,N20000229,462,Glengormley_Urban_E4 DZ profile
Glengormley_Urban_D4,N20000230,522,Glengormley_Urban_D4 DZ profile
Glengormley_Urban_F1,N20000231,488,Glengormley_Urban_F1 DZ profile
Glengormley_Urban_G1,N20000232,316,Glengormley_Urban_G1 DZ profile
Glengormley_Urban_F2,N20000233,479,Glengormley_Urban_F2 DZ profile
Glengormley_Urban_G2,N20000234,422,Glengormley_Urban_G2 DZ profile
Glengormley_Urban_G3,N20000235,366,Glengormley_Urban_G3 DZ profile
Glengormley_Urban_H1,N20000236,441,Glengormley_Urban_H1 DZ profile
Glengormley_Urban_H2,N20000237,415,Glengormley_Urban_H2 DZ profile
Glengormley_Urban_F3,N20000238,584,Glengormley_Urban_F3 DZ profile
Glengormley_Urban_G4,N20000239,463,Glengormley_Urban_G4 DZ profile
Glengormley_Urban_F4,N20000240,348,Glengormley_Urban_F4 DZ profile
Glengormley_Urban_G5,N20000241,291,Glengormley_Urban_G5 DZ profile
Glengormley_Urban_H3,N20000242,451,Glengormley_Urban_H3 DZ profile
Glengormley_Urban_J1,N20000243,354,Glengormley_Urban_J1 DZ profile
Glengormley_Urban_J2,N20000244,692,Glengormley_Urban_J2 DZ profile
Glengormley_Urban_J3,N20000245,398,Glengormley_Urban_J3 DZ profile
Glengormley_Urban_K1,N20000246,544,Glengormley_Urban_K1 DZ profile
Glengormley_Urban_K2,N20000247,457,Glengormley_Urban_K2 DZ profile
Glengormley_Urban_L1,N20000248,270,Glengormley_Urban_L1 DZ profile
Glengormley_Urban_J4,N20000249,353,Glengormley_Urban_J4 DZ profile
Glengormley_Urban_J5,N20000250,390,Glengormley_Urban_J5 DZ profile
Glengormley_Urban_L2,N20000251,714,Glengormley_Urban_L2 DZ profile
Glengormley_Urban_L3,N20000252,449,Glengormley_Urban_L3 DZ profile
Glengormley_Urban_K3,N20000253,618,Glengormley_Urban_K3 DZ profile
Glengormley_Urban_K4,N20000254,500,Glengormley_Urban_K4 DZ profile
Glengormley_Urban_L4,N20000255,545,Glengormley_Urban_L4 DZ profile
Glengormley_Urban_L5,N20000256,561,Glengormley_Urban_L5 DZ profile
Airport_A1,N20000257,308,Airport_A1 DZ profile
Airport_B1,N20000258,516,Airport_B1 DZ profile
Airport_A2,N20000259,588,Airport_A2 DZ profile
Airport_A3,N20000260,652,Airport_A3 DZ profile
Airport_C1,N20000261,893,Airport_C1 DZ profile
Airport_C2,N20000262,651,Airport_C2 DZ profile
Airport_B2,N20000263,562,Airport_B2 DZ profile
Airport_B3,N20000264,683,Airport_B3 DZ profile
Airport_D1,N20000265,537,Airport_D1 DZ profile
Airport_C3,N20000266,377,Airport_C3 DZ profile
Airport_D2,N20000267,808,Airport_D2 DZ profile
Airport_F1,N20000268,666,Airport_F1 DZ profile
Airport_D3,N20000269,647,Airport_D3 DZ profile
Airport_E1,N20000270,350,Airport_E1 DZ profile
Airport_D4,N20000271,511,Airport_D4 DZ profile
Airport_E2,N20000272,657,Airport_E2 DZ profile
Airport_E3,N20000273,405,Airport_E3 DZ profile
Airport_G1,N20000274,535,Airport_G1 DZ profile
Airport_E4,N20000275,491,Airport_E4 DZ profile
Airport_E5,N20000276,601,Airport_E5 DZ profile
Airport_E6,N20000277,434,Airport_E6 DZ profile
Airport_C4,N20000278,523,Airport_C4 DZ profile
Airport_F2,N20000279,"1,333",Airport_F2 DZ profile
Airport_G2,N20000280,657,Airport_G2 DZ profile
Airport_G3,N20000281,667,Airport_G3 DZ profile
Airport_F3,N20000282,429,Airport_F3 DZ profile
Airport_H1,N20000283,749,Airport_H1 DZ profile
Airport_H2,N20000284,616,Airport_H2 DZ profile
Airport_G4,N20000285,650,Airport_G4 DZ profile
Airport_J1,N20000286,520,Airport_J1 DZ profile
Airport_H3,N20000287,738,Airport_H3 DZ profile
Airport_H4,N20000288,480,Airport_H4 DZ profile
Airport_J2,N20000289,356,Airport_J2 DZ profile
Airport_H5,N20000290,299,Airport_H5 DZ profile
Airport_J3,N20000291,317,Airport_J3 DZ profile
Airport_J4,N20000292,562,Airport_J4 DZ profile
Airport_F4,N20000293,534,Airport_F4 DZ profile
Airport_J5,N20000294,726,Airport_J5 DZ profile
Armagh_A1,N20000295,701,Armagh_A1 DZ profile
Armagh_A2,N20000296,555,Armagh_A2 DZ profile
Armagh_A3,N20000297,638,Armagh_A3 DZ profile
Armagh_A4,N20000298,664,Armagh_A4 DZ profile
Armagh_E1,N20000299,544,Armagh_E1 DZ profile
Armagh_A5,N20000300,486,Armagh_A5 DZ profile
Armagh_E2,N20000301,715,Armagh_E2 DZ profile
Armagh_A6,N20000302,770,Armagh_A6 DZ profile
Armagh_C1,N20000303,670,Armagh_C1 DZ profile
Armagh_C2,N20000304,508,Armagh_C2 DZ profile
Armagh_E3,N20000305,568,Armagh_E3 DZ profile
Armagh_B1,N20000306,536,Armagh_B1 DZ profile
Armagh_B2,N20000307,416,Armagh_B2 DZ profile
Armagh_C3,N20000308,437,Armagh_C3 DZ profile
Armagh_D1,N20000309,682,Armagh_D1 DZ profile
Armagh_J1,N20000310,440,Armagh_J1 DZ profile
Armagh_B3,N20000311,519,Armagh_B3 DZ profile
Armagh_D2,N20000312,696,Armagh_D2 DZ profile
Armagh_F1,N20000313,437,Armagh_F1 DZ profile
Armagh_B4,N20000314,355,Armagh_B4 DZ profile
Armagh_C4,N20000315,512,Armagh_C4 DZ profile
Armagh_D3,N20000316,498,Armagh_D3 DZ profile
Armagh_D4,N20000317,711,Armagh_D4 DZ profile
Armagh_D5,N20000318,528,Armagh_D5 DZ profile
Armagh_F2,N20000319,260,Armagh_F2 DZ profile
Armagh_F3,N20000320,509,Armagh_F3 DZ profile
Armagh_F4,N20000321,328,Armagh_F4 DZ profile
Armagh_D6,N20000322,474,Armagh_D6 DZ profile
Armagh_F5,N20000323,231,Armagh_F5 DZ profile
Armagh_C5,N20000324,362,Armagh_C5 DZ profile
Armagh_G1,N20000325,410,Armagh_G1 DZ profile
Armagh_C6,N20000326,530,Armagh_C6 DZ profile
Armagh_F6,N20000327,541,Armagh_F6 DZ profile
Armagh_G2,N20000328,325,Armagh_G2 DZ profile
Armagh_G3,N20000329,808,Armagh_G3 DZ profile
Armagh_G4,N20000330,562,Armagh_G4 DZ profile
Armagh_G5,N20000331,573,Armagh_G5 DZ profile
Armagh_H1,N20000332,499,Armagh_H1 DZ profile
Armagh_H2,N20000333,489,Armagh_H2 DZ profile
Armagh_H3,N20000334,570,Armagh_H3 DZ profile
Armagh_G6,N20000335,389,Armagh_G6 DZ profile
Armagh_H4,N20000336,465,Armagh_H4 DZ profile
Armagh_H5,N20000337,481,Armagh_H5 DZ profile
Armagh_J2,N20000338,406,Armagh_J2 DZ profile
Armagh_J3,N20000339,561,Armagh_J3 DZ profile
Armagh_E4,N20000340,543,Armagh_E4 DZ profile
Armagh_J4,N20000341,678,Armagh_J4 DZ profile
Armagh_E5,N20000342,416,Armagh_E5 DZ profile
Armagh_J5,N20000343,671,Armagh_J5 DZ profile
Armagh_K1,N20000344,583,Armagh_K1 DZ profile
Armagh_J6,N20000345,571,Armagh_J6 DZ profile
Armagh_K2,N20000346,657,Armagh_K2 DZ profile
Armagh_K3,N20000347,518,Armagh_K3 DZ profile
Armagh_L1,N20000348,525,Armagh_L1 DZ profile
Armagh_L2,N20000349,470,Armagh_L2 DZ profile
Armagh_L3,N20000350,628,Armagh_L3 DZ profile
Armagh_L4,N20000351,431,Armagh_L4 DZ profile
Armagh_L5,N20000352,580,Armagh_L5 DZ profile
Armagh_K4,N20000353,512,Armagh_K4 DZ profile
Armagh_K5,N20000354,736,Armagh_K5 DZ profile
Armagh_K6,N20000355,527,Armagh_K6 DZ profile
Portadown_A1,N20000356,701,Portadown_A1 DZ profile
Portadown_A2,N20000357,392,Portadown_A2 DZ profile
Portadown_B1,N20000358,562,Portadown_B1 DZ profile
Portadown_A3,N20000359,555,Portadown_A3 DZ profile
Portadown_B2,N20000360,403,Portadown_B2 DZ profile
Portadown_A4,N20000361,669,Portadown_A4 DZ profile
Portadown_A5,N20000362,648,Portadown_A5 DZ profile
Portadown_B3,N20000363,490,Portadown_B3 DZ profile
Portadown_B4,N20000364,559,Portadown_B4 DZ profile
Portadown_B5,N20000365,539,Portadown_B5 DZ profile
Portadown_B6,N20000366,467,Portadown_B6 DZ profile
Portadown_J1,N20000367,597,Portadown_J1 DZ profile
Portadown_R1,N20000368,668,Portadown_R1 DZ profile
Portadown_J2,N20000369,655,Portadown_J2 DZ profile
Portadown_C1,N20000370,415,Portadown_C1 DZ profile
Portadown_D1,N20000371,609,Portadown_D1 DZ profile
Portadown_C2,N20000372,652,Portadown_C2 DZ profile
Portadown_D2,N20000373,580,Portadown_D2 DZ profile
Portadown_C3,N20000374,366,Portadown_C3 DZ profile
Portadown_D3,N20000375,324,Portadown_D3 DZ profile
Portadown_D4,N20000376,277,Portadown_D4 DZ profile
Portadown_F1,N20000377,473,Portadown_F1 DZ profile
Portadown_E1,N20000378,409,Portadown_E1 DZ profile
Portadown_D5,N20000379,657,Portadown_D5 DZ profile
Portadown_C4,N20000380,387,Portadown_C4 DZ profile
Portadown_E2,N20000381,576,Portadown_E2 DZ profile
Portadown_E3,N20000382,591,Portadown_E3 DZ profile
Portadown_R2,N20000383,655,Portadown_R2 DZ profile
Portadown_H1,N20000384,650,Portadown_H1 DZ profile
Portadown_G1,N20000385,344,Portadown_G1 DZ profile
Portadown_E4,N20000386,437,Portadown_E4 DZ profile
Portadown_G2,N20000387,293,Portadown_G2 DZ profile
Portadown_G3,N20000388,383,Portadown_G3 DZ profile
Portadown_K1,N20000389,701,Portadown_K1 DZ profile
Portadown_G4,N20000390,437,Portadown_G4 DZ profile
Portadown_G5,N20000391,275,Portadown_G5 DZ profile
Portadown_H2,N20000392,536,Portadown_H2 DZ profile
Portadown_F2,N20000393,460,Portadown_F2 DZ profile
Portadown_G6,N20000394,310,Portadown_G6 DZ profile
Portadown_F3,N20000395,542,Portadown_F3 DZ profile
Portadown_K2,N20000396,430,Portadown_K2 DZ profile
Portadown_H3,N20000397,716,Portadown_H3 DZ profile
Portadown_L1,N20000398,457,Portadown_L1 DZ profile
Portadown_K3,N20000399,442,Portadown_K3 DZ profile
Portadown_L2,N20000400,458,Portadown_L2 DZ profile
Portadown_J3,N20000401,635,Portadown_J3 DZ profile
Portadown_K4,N20000402,787,Portadown_K4 DZ profile
Portadown_L3,N20000403,460,Portadown_L3 DZ profile
Portadown_N1,N20000404,629,Portadown_N1 DZ profile
Portadown_N2,N20000405,494,Portadown_N2 DZ profile
Portadown_P1,N20000406,293,Portadown_P1 DZ profile
Portadown_N3,N20000407,403,Portadown_N3 DZ profile
Portadown_J4,N20000408,321,Portadown_J4 DZ profile
Portadown_P2,N20000409,238,Portadown_P2 DZ profile
Portadown_P3,N20000410,353,Portadown_P3 DZ profile
Portadown_L4,N20000411,526,Portadown_L4 DZ profile
Portadown_P4,N20000412,524,Portadown_P4 DZ profile
Portadown_Q1,N20000413,707,Portadown_Q1 DZ profile
Portadown_Q2,N20000414,472,Portadown_Q2 DZ profile
Portadown_Q3,N20000415,445,Portadown_Q3 DZ profile
Portadown_R3,N20000416,641,Portadown_R3 DZ profile
Portadown_Q4,N20000417,579,Portadown_Q4 DZ profile
Portadown_J5,N20000418,714,Portadown_J5 DZ profile
Portadown_R4,N20000419,484,Portadown_R4 DZ profile
Portadown_R5,N20000420,473,Portadown_R5 DZ profile
Craigavon_A1,N20000421,712,Craigavon_A1 DZ profile
Craigavon_A2,N20000422,796,Craigavon_A2 DZ profile
Craigavon_A3,N20000423,778,Craigavon_A3 DZ profile
Craigavon_A4,N20000424,794,Craigavon_A4 DZ profile
Craigavon_B1,N20000425,318,Craigavon_B1 DZ profile
Craigavon_B2,N20000426,550,Craigavon_B2 DZ profile
Craigavon_B3,N20000427,591,Craigavon_B3 DZ profile
Craigavon_B4,N20000428,854,Craigavon_B4 DZ profile
Craigavon_B5,N20000429,368,Craigavon_B5 DZ profile
Craigavon_C1,N20000430,454,Craigavon_C1 DZ profile
Craigavon_E1,N20000431,520,Craigavon_E1 DZ profile
Craigavon_E2,N20000432,576,Craigavon_E2 DZ profile
Craigavon_C2,N20000433,719,Craigavon_C2 DZ profile
Craigavon_D1,N20000434,613,Craigavon_D1 DZ profile
Craigavon_D2,N20000435,699,Craigavon_D2 DZ profile
Craigavon_F1,N20000436,481,Craigavon_F1 DZ profile
Craigavon_D3,N20000437,368,Craigavon_D3 DZ profile
Craigavon_F2,N20000438,363,Craigavon_F2 DZ profile
Craigavon_E3,N20000439,457,Craigavon_E3 DZ profile
Craigavon_C3,N20000440,406,Craigavon_C3 DZ profile
Craigavon_C4,N20000441,448,Craigavon_C4 DZ profile
